State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Price_per_quintal
9,34,0,1,4,-0.6562117412501528,-1.196341169949676,-0.2221196546720022,0.6822443838965672,-1.4435039068463507,1.6326719203276803,2466.17
2,51,10,0,7,1.4679382824615128,0.048628179417624054,0.6815620802625517,0.4958282050063049,1.084587758842951,-0.1892960443415251,3027.37
3,38,5,2,5,-0.13961604851461018,-0.2262351834297018,0.5752465820349575,1.6340220821551492,1.32872210106883,0.9578172217577218,1659.77
5,27,13,2,5,0.4251190215288452,0.2264809436129523,0.2762342432698478,1.6227667656938505,-0.6404630248038666,-0.4380002603776589,5753.39
3,14,4,3,7,-1.0702103860982053,1.1480816308069282,-0.5942238984685833,1.1535607607134555,0.6595213660334263,-0.6378019620246653,3115.46
10,0,13,3,1,-1.0735199682881245,1.5684608916322504,-0.46797424432331436,-1.0496674365857905,-1.7446442376122824,0.9871587303911984,9187.75
6,23,9,0,1,2.115412907252944,0.24264937672161874,1.1932054154828506,0.5816499930237089,-0.13608395228644216,0.22847115001130658,1900.7
9,34,2,3,0,-1.035008466441794,1.374439694328255,-1.0194858913789615,-0.2252155057956512,-1.0258730777594416,-0.30805929357226314,6397.53
1,16,3,3,1,-0.944145391773108,0.33965997537361636,-1.9563912195096385,0.9833240992363105,0.5343560433693971,-0.31504536705642405,4605.82
6,44,13,3,4,-0.9107486987657432,1.18041849702426,-0.8600126440375697,-1.1847312341213765,-0.03198606016982377,-1.1855101231828926,7553.7
7,28,0,1,7,-0.1889589102552212,-1.4065308003623371,-0.3417245901780459,-1.3352710917912485,1.5666601401925289,1.4035287100471978,3188.83
9,43,13,2,4,0.49672634527436615,0.11330191185228876,0.48222052108581187,-0.7978297307642293,-1.436068343123735,1.3825704895947144,6043.24
6,32,3,2,0,0.25813555649202163,0.5336811726776111,-0.09587000052673375,0.7589212272891652,-0.27116335991395885,0.44084778392980284,3867.82
11,39,9,0,4,0.5972172954046346,-0.40408794762503064,0.21643177551682546,-0.597344406297344,-1.2687681593648843,-1.3531758868027584,2835.75
10,0,0,3,6,-1.0548659595813081,0.8570498348509352,-1.8567204399212687,1.591814645425279,-0.09766687305292832,0.973186583422876,3524.71
0,17,4,3,4,-0.9603924316145286,0.776207669307604,-1.418169009732441,-0.8161196200138399,-0.6206348548768917,0.0761747480565954,4799.89
6,32,2,3,6,-1.0353093375499685,2.1666929166529005,-1.0593542032143095,0.5950156813215012,-0.7953706023583581,0.5512277449795479,7394.97
9,41,11,0,0,0.22985367232362275,0.35582840848228225,0.5553124261172827,0.18630700232058717,-0.4830769260085032,1.1338662735585803,302.93
4,21,8,1,7,-0.8090542642027767,-1.0184884057543477,-0.9663281422651638,-1.1727724603812464,-1.6145218724665096,-0.21724033827816924,1590.55
1,16,8,0,3,1.0620631575341706,1.034902599046264,1.532086066083308,-0.645882958536695,0.9086127507410485,0.558213818463709,1197.88
0,30,12,0,0,-0.07282266249988077,-0.436424813842363,2.1832684927273247,1.1479331024828061,-1.2390259044744218,-1.0932939531919668,895.21
9,41,1,1,7,-0.6450795102476977,-2.29579462133898,-1.53112922659926,-0.002219548406168225,-1.2712466806057563,-1.6591659054090129,5949.32
3,50,8,3,2,-1.035610208658143,1.2127553632415928,-1.9431017822311891,-1.0503708938646217,1.0201462065802824,0.7426461584455611,912.12
6,32,10,2,6,0.22052666797021453,-1.277183335493007,0.10347155865000605,-0.04513044241486998,0.5293990008876533,0.016094516092810277,3051.09
9,34,7,0,5,1.694494226916879,0.12947034496095522,1.4390600051341633,-0.28641628905396366,1.58153126763776,0.3332622522737225,1529.23
9,41,9,3,0,-0.9627994004799243,0.9702288666115993,-1.1922485759988026,1.142305444252157,0.994121733551128,-0.9102588279069468,3158.2
3,50,14,1,7,-0.4155148547105873,-1.535878265231667,-1.1125119523281066,0.5239664961595524,1.2394953363974424,-0.1529684622238876,2871.66
10,4,14,2,0,-0.38693209943401385,-0.08071928545170594,0.42241805333278953,0.3234811716926669,-1.2638111168831405,1.1157024824997617,2529.09
9,43,4,0,4,1.72428046662615,-0.1615614509950371,0.030379653618535164,-1.672227128351382,-1.5785833144738675,-1.108663314857121,3258.59
9,41,2,2,3,-0.26989323835415,-0.2909089158643671,0.894193076717741,1.3005833319891718,1.18248934785739,-1.5571692325402613,5713.09
1,37,2,0,0,2.4881922102810963,0.2911546760476176,1.2131395714005244,0.07797458138058598,-1.417479433817196,1.1464412058300706,5111.07
5,2,8,0,7,0.8797352659804496,0.8893867010682681,1.0270874495022342,1.0466352543311168,0.9346372237702034,0.4925447277125946,910.92
1,13,7,1,2,-0.45192025879969644,-1.5035413990143347,0.5619571447565079,0.48105560215085014,-0.8461802877962314,-1.2288237787846914,1560.49
5,40,10,3,6,-1.2092128380748044,1.4391134267629198,-2.022838405901885,-0.42499737298370543,0.608711680595553,-0.6908961205042895,4563.88
10,57,12,2,4,0.10830174462114224,0.1456387780696211,-0.5809344611901338,1.0550767416770908,0.07830813504897392,0.4604087896854542,882.81
4,21,7,2,1,0.5499805314212448,-0.6627828773636906,0.030379653618535164,0.3931234422969533,-1.4410253856054789,0.7775765258663664,1210.7
8,53,3,3,4,-0.9781438269968217,1.2289237963502593,-1.325142948783296,1.0227177068508566,1.5121326728933475,-0.839000878368504,6406.24
11,11,4,0,6,1.0277638512022826,0.06479661252628995,1.0935346358944809,-0.12321420036513057,0.04236957705633217,0.9089147073685941,2650.77
2,1,1,0,5,0.32914113802119355,0.808544535524937,0.6217596125095294,0.5443667572456564,-0.3182552634905244,0.9438450747893994,5683.62
9,34,2,2,6,0.3775813864372812,0.048628179417624054,0.7147856734586749,-0.6515106167673446,-1.2241547770291907,-1.200879484848047,5247.98
8,33,12,2,6,-0.07733572912249763,-0.8406356415590188,1.0935346358944809,-0.07678601996227288,-0.4644880167019642,1.6703967171421505,741.18
11,10,0,0,0,1.556394388264803,0.5013443064602787,0.6616279243448779,0.3023774533277315,0.6099509412159889,-1.6647547641963416,1824.11
3,50,9,1,3,-0.40709046368170243,-1.3418570679276722,0.16991874504225266,0.9741791546115055,-1.386497918306298,1.7067242992597877,2998.48
1,8,12,0,5,-0.014754538622210564,0.8408814017422699,2.4955702687708836,0.5176353806500715,-1.457135773671146,1.3644066985358958,996.33
11,11,9,2,6,0.42391553709614743,0.048628179417624054,0.030379653618535164,-1.620171289717875,-1.752079801334898,-1.5292249386036172,2001.52
4,9,9,3,2,-1.2540426331927985,0.7438708030902722,-1.6042211316307313,1.4848891390429397,0.9086127507410485,0.6825659264817759,2144.23
7,54,4,3,3,-0.6098775905912863,1.6978083565015798,-1.3982348538147669,1.2175753730870928,-1.2315903407518063,0.808315249196675,4920.18
4,18,0,3,0,-0.8782546190829018,0.33965997537361636,-1.63080000618763,0.40015801508526516,-1.6231966968095608,1.3196958282372648,2531.08
5,2,4,1,3,-0.7395530382144773,0.1456387780696211,-0.12909359372285706,0.46980028568955157,0.21586606391736268,-1.2092627730290406,3327.81
11,19,0,1,7,-0.31833348677023765,-1.0993305712976789,0.43570749061123903,-1.229049042687741,-0.007200847761105126,-0.32342865523741743,2305.32
9,43,0,1,2,-1.1008992391319998,-1.956257526056989,-1.0792883591319833,0.46346917018007094,-0.34180121527880686,-0.30666207887543095,2580.76
4,9,3,1,4,-0.2774150160585115,-1.2125096030583424,-1.5045503520423615,-0.9603283621742311,0.21586606391736268,0.22986836470813876,5635.54
8,49,10,3,1,-1.096386172509383,1.293597528784924,-0.8998809558729173,0.4339239644691614,-0.5190154840011453,0.04823045411995123,6122.62
10,35,6,1,2,-0.6029575551032738,-1.8592469274049916,-1.185603857359578,-0.6508071594885133,1.1353974442808243,-0.014644207237498494,5798.59
0,29,4,1,4,-0.5313502313577532,-1.6005519976663318,0.6882067989017759,-0.6529175313250069,0.8069933798653023,-1.6563714760153485,2753.77
8,12,0,3,0,-0.958587204965482,2.0211770186749045,-1.6042211316307313,-0.4756462970595503,1.555506794608605,1.701135440472459,3219.0
11,19,8,3,6,-0.7368451982409072,1.374439694328255,-1.238761606473375,-1.0180118590383878,0.05104440139938355,-1.1463881116715908,2114.65
0,29,7,2,7,-0.1146437465361304,0.549849605786277,0.7612987039332478,-1.2529665901680007,-0.2153966319943419,-0.3625506667487195,1858.76
1,45,2,0,1,0.21932318353751676,0.5175127395689446,0.9805744190276614,-1.5906260840069657,-0.962670786117209,-0.7062654821694437,5789.4
2,48,11,2,2,-0.46937078307381497,-0.9861515395370153,-0.5211319934371119,0.47402102936253876,0.4823070973110881,0.5875553270971856,266.35
2,48,8,2,6,-0.2701941094623246,0.2264809436129523,-1.1590249828026793,0.9305648033239723,1.1862071297186978,0.02168337488013901,1113.74
10,57,6,2,3,0.0917538336715471,0.43667057402561343,1.2862314764319953,-1.3802923576364439,-0.38765385823493653,1.4328702186806739,4358.05
3,7,0,2,5,1.1114060192747814,0.5336811726776111,-0.009488658216812891,-0.6754281642476044,0.30633208920918553,-1.6815213405583285,2155.97
10,4,0,2,4,0.3832979374925958,-0.4687616800596953,-0.242053810589676,0.9052403412860499,1.3634213984410355,0.7608099495043797,2044.24
6,44,7,1,5,-0.4808038851844444,-1.681394163209663,-2.6740208325459016,0.5317045262266953,1.5939238738421193,1.6634106436579894,2807.05
6,32,14,1,0,-0.7582070469212936,-0.6789513104723565,-0.42810593248796674,0.9608134663137128,-0.07164240002377381,1.6676022877484857,2350.94
4,20,11,3,3,-1.129181123300399,1.8271558213709094,-0.3483693088172707,1.4736338225816412,1.0833484982225152,-1.5795246676895767,390.33
11,39,13,3,2,-0.975736858131426,1.8756611206969087,-0.24869852922890076,1.2675208398841065,0.794600773660943,1.0346640300834935,9384.16
10,31,12,3,6,-1.0265840754129092,0.5983549051122757,-1.6839577553014276,-1.6426819226404727,-0.3777397732714489,1.358817839748567,2743.64
7,28,7,2,6,0.09476254475329167,0.032459746308957586,0.15662930776380363,0.3094120261160431,-0.3938501613371162,-0.7663457141332288,853.62
10,35,3,2,3,0.20608485477784072,-0.5496038456030266,-0.2553432478681255,-0.7141183145833192,-0.35543308210360236,-1.238604281662517,5418.35
1,45,10,1,7,-0.5337572002231487,-0.5981091449290253,0.16327402640302838,-0.015585236703960427,-1.3047067173575264,-0.45616405143647776,4324.43
1,8,8,1,4,-0.8851746545709144,-1.6005519976663318,-1.1523802641634546,1.593925017261772,0.8379748953762005,0.14463826820137385,920.05
10,4,8,1,3,-0.8436544416428393,-0.8729725077763512,-0.48126368160176386,0.8384118997970884,0.27906835555959514,0.5302695245270648,1026.61
5,2,9,1,0,-0.6974310830700533,-1.0831621381890124,0.24965536871294877,1.011462390389558,0.9495083512154344,-0.20606262070351156,2615.01
6,44,8,1,2,-0.8978112411142415,-2.069436557817653,-0.3616587460957202,-1.1010198179404664,0.17992750592472057,-1.357367530893255,1182.26
9,58,12,2,5,1.175491565315941,0.776207669307604,0.6616279243448779,-1.6032883150259267,-0.9168181431610795,-1.481719638911322,1007.96
9,41,14,3,4,-0.8945016589243227,0.43667057402561343,-1.670668318022978,-1.5350529589793027,0.6520858023108107,-0.9982833538073762,2480.22
3,7,3,2,1,0.4660374922405714,-0.01604555301704123,0.48886523972503615,0.023104913631754105,-0.07164240002377381,-0.5665440124862224,4316.34
0,29,2,3,1,-1.0455389552279,1.5684608916322504,0.06360324681465847,-0.07537910540461057,0.6000368562525017,-0.9256281895721012,6174.41
2,56,5,0,3,1.6535757562051525,-0.40408794762503064,0.9207719512746391,-1.2649253639081308,1.417948865740217,-1.674535267074167,1627.09
0,15,11,0,3,0.9967741270603133,0.3234915422649499,1.7712959370953962,0.3087085688372121,1.1762930447552102,-1.6899046287393218,243.29
1,13,2,1,1,-0.8120629752845213,-2.004762825382988,-0.06929112596983474,-0.16331126525850767,0.32368173789528865,1.6634106436579894,6474.88
1,45,0,1,1,-0.3460136287222877,-1.9077522267309905,-0.9331045490690406,-0.3047061783035743,-0.6689660190738931,-1.4398031980063555,2399.46
4,18,7,3,6,-0.91526176538836,0.9378920003942663,-1.1191566709673313,-0.641662214863708,1.3175687554849063,0.3262761787895616,2903.88
7,28,6,0,7,-0.9450480050976314,-0.1615614509950371,0.7081409548194507,-1.7320209970520324,-1.713662722101384,1.6927521522914655,6259.45
5,40,5,3,1,-1.0750243238289967,1.0995763314809288,-0.8134996135629968,-1.5702258229208614,0.29270022238439036,-0.6978821939884505,1994.49
3,7,11,2,2,-0.04333729389878397,0.7923761024162704,0.5420229888388342,-0.8625478004166975,0.3484669503040073,0.18795192380317252,289.21
3,38,13,2,1,0.17509513063587182,0.38816527469961465,0.6084701752310808,0.04561554655435179,-1.7272945889261793,1.0178974537215069,5900.09
10,35,10,0,5,1.7086351690010786,0.1456387780696211,0.48886523972503615,-1.226235213572416,1.5654208795720927,-1.0960883825856311,3715.7
5,40,8,3,5,-1.1264732833268287,0.7438708030902722,-0.2619879665073503,-0.4264042875413677,0.02378066774979318,0.8320678990428227,1348.65
2,56,8,3,2,-1.0268849465210836,1.034902599046264,-1.1922485759988026,1.0332695660333242,-1.4236757369193758,-1.0066666419883696,2047.98
11,39,8,2,5,0.5951111976474134,-0.0968877185603724,0.2097870568776007,-0.6346276420753961,0.34103138658139176,0.28156530849093075,1210.32
5,46,5,1,4,-0.8641136769987023,-1.0023199726456813,-0.4081717765702925,-0.3736449916290295,-1.3158600629414496,-1.1491825410652552,2820.97
