State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Price_per_quintal
Telangana,Medak,Bajra,Rabi,Laterite,269.9,20.6,56.9,35.02,46.4,24.4,2466.17
Gujarat,Surat,Soybean,Kharif,Sandy Loam,975.9,28.3,70.5,32.37,250.4,11.36,3027.37
Karnataka,Mysore,Maize,Whole Year,Mountain,441.6,26.6,68.9,48.55,270.1,19.57,1659.77
Maharashtra,Kolhapur,Tur (Arhar),Whole Year,Mountain,629.3,29.4,64.4,48.39,111.2,9.58,5753.39
Karnataka,Dharwad,Jowar,Zaid,Sandy Loam,132.3,35.1,51.3,41.72,216.1,8.15,3115.46
Uttar Pradesh,Agra,Tur (Arhar),Zaid,Black (Regur),131.2,37.7,53.2,10.4,22.1,19.78,9187.75
Punjab,Jalandhar,Rice,Kharif,Black (Regur),1191.1,29.5,78.2,33.59,151.9,14.35,1900.7
Telangana,Medak,Cotton,Zaid,Alluvial,144.0,36.5,44.9,22.12,80.1,10.51,6397.53
Bihar,Gaya,Groundnut,Zaid,Black (Regur),174.2,30.1,30.8,39.3,206.0,10.46,4605.82
Punjab,Patiala,Tur (Arhar),Zaid,Laterite,185.3,35.3,47.3,8.48,160.3,4.23,7553.7
Rajasthan,Kota,Bajra,Rabi,Sandy Loam,425.2,19.3,55.1,6.34,289.3,22.76,3188.83
Telangana,Nizamabad,Tur (Arhar),Whole Year,Laterite,653.1,28.7,67.5,13.98,47.0,22.61,6043.24
Punjab,Ludhiana,Groundnut,Whole Year,Alluvial,573.8,31.3,58.8,36.11,141.0,15.87,3867.82
West Bengal,Nadia,Rice,Kharif,Laterite,686.5,25.5,63.5,16.83,60.5,3.03,2835.75
Uttar Pradesh,Agra,Bajra,Zaid,Red,137.4,33.3,32.3,47.95,155.0,19.68,3524.71
Andhra Pradesh,Guntur,Jowar,Zaid,Laterite,168.8,32.8,38.9,13.72,112.8,13.26,4799.89
Punjab,Ludhiana,Cotton,Zaid,Red,143.9,41.4,44.3,33.78,98.7,16.66,7394.97
Telangana,Nalgonda,Sugarcane,Kharif,Alluvial,564.4,30.2,68.6,27.97,123.9,20.83,302.93
Madhya Pradesh,Jabalpur,Potato,Rabi,Sandy Loam,219.1,21.7,45.7,8.65,32.6,11.16,1590.55
Bihar,Gaya,Potato,Kharif,Desert (Arid),841.0,34.4,83.3,16.14,236.2,16.71,1197.88
Andhra Pradesh,Kurnool,Tomato,Kharif,Alluvial,463.8,25.3,93.1,41.64,62.9,4.89,895.21
Telangana,Nalgonda,Chana (Gram),Rabi,Sandy Loam,273.6,13.8,37.2,25.29,60.3,0.84,5949.32
Karnataka,Shimoga,Potato,Zaid,Clay,143.8,35.5,31.0,10.39,245.2,18.03,912.12
Punjab,Ludhiana,Soybean,Whole Year,Red,561.3,20.1,61.8,24.68,205.6,,3051.09
Telangana,Medak,Onion,Kharif,Mountain,1051.2,28.8,81.9,21.25,290.5,15.1,1529.23
Telangana,Nalgonda,Rice,Zaid,Alluvial,168.0,34.0,42.3,41.56,243.1,6.2,3158.2
Karnataka,Shimoga,Wheat,Rabi,Sandy Loam,349.9,18.5,43.5,32.77,262.9,11.62,2871.66
Uttar Pradesh,Allahabad,Wheat,Whole Year,Alluvial,359.4,27.5,66.6,29.92,60.9,20.7,2529.09
Telangana,Nizamabad,Jowar,Kharif,Laterite,1061.1,27.0,60.7,1.55,35.5,4.78,3258.59
Telangana,Nalgonda,Cotton,Whole Year,Desert (Arid),398.3,26.2,73.7,43.81,258.3,1.57,5713.09
Bihar,Muzaffarpur,Cotton,Kharif,Alluvial,1315.0,29.8,78.5,26.43,48.5,20.92,5111.07
Maharashtra,Ahmednagar,Potato,Kharif,Sandy Loam,780.4,33.5,75.7,40.2,238.3,16.24,910.92
Bihar,Darbhanga,Onion,Rabi,Clay,337.8,18.7,68.7,32.16,94.6,3.92,1560.49
Maharashtra,Nagpur,Soybean,Zaid,Red,86.1,36.9,29.8,19.28,212.0,7.77,4563.88
Uttar Pradesh,Varanasi,Tomato,Whole Year,Laterite,524.0,28.9,51.5,40.32,169.2,16.01,882.81
Madhya Pradesh,Jabalpur,Onion,Whole Year,Black (Regur),670.8,23.9,60.7,30.91,46.6,18.28,1210.7
Tamil Nadu,Tirunelveli,Groundnut,Zaid,Laterite,162.9,35.6,40.3,39.86,284.9,6.71,6406.24
West Bengal,Burdwan,Jowar,Kharif,,829.6,28.4,76.7,23.57,166.3,19.22,2650.77
Gujarat,Ahmedabad,Chana (Gram),Kharif,Mountain,597.4,33.0,69.6,33.06,137.2,19.47,5683.62
Telangana,Medak,Cotton,Whole Year,Red,613.5,28.3,71.0,16.06,64.1,4.12,5247.98
Tamil Nadu,Madurai,Tomato,Whole Year,Red,462.3,22.8,76.7,24.23,125.4,24.67,741.18
