State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Yield_ton_per_hectare
Telangana,Medak,Bajra,Rabi,Laterite,269.9,20.6,56.9,35.02,46.4,24.4,0.45
Gujarat,Surat,Soybean,Kharif,Sandy Loam,975.9,28.3,70.5,32.37,250.4,11.36,2.13
Karnataka,Mysore,Maize,Whole Year,Mountain,441.6,26.6,68.9,48.55,270.1,19.57,1.58
Maharashtra,Kolhapur,Tur (Arhar),Whole Year,Mountain,629.3,29.4,64.4,48.39,111.2,9.58,0.44
Karnataka,Dharwad,Jowar,Zaid,Sandy Loam,132.3,35.1,51.3,41.72,216.1,8.15,0.74
Uttar Pradesh,Agra,Tur (Arhar),Zaid,Black (Regur),131.2,37.7,53.2,10.4,22.1,19.78,0.29
Punjab,Jalandhar,Rice,Kharif,Black (Regur),1191.1,29.5,78.2,33.59,151.9,14.35,6.7
Telangana,Medak,Cotton,Zaid,Alluvial,144.0,36.5,44.9,22.12,80.1,10.51,0.65
Bihar,Gaya,Groundnut,Zaid,Black (Regur),174.2,30.1,30.8,39.3,206.0,10.46,1.33
Punjab,Patiala,Tur (Arhar),Zaid,Laterite,185.3,35.3,47.3,8.48,160.3,4.23,0.39
Rajasthan,Kota,Bajra,Rabi,Sandy Loam,425.2,19.3,55.1,6.34,289.3,22.76,0.77
Telangana,Nizamabad,Tur (Arhar),Whole Year,Laterite,653.1,28.7,67.5,13.98,47.0,22.61,0.49
Punjab,Ludhiana,Groundnut,Whole Year,Alluvial,573.8,31.3,58.8,36.11,141.0,15.87,1.53
West Bengal,Nadia,Rice,Kharif,Laterite,686.5,25.5,63.5,16.83,60.5,3.03,2.25
Uttar Pradesh,Agra,Bajra,Zaid,Red,137.4,33.3,32.3,47.95,155.0,19.68,0.36
Andhra Pradesh,Guntur,Jowar,Zaid,Laterite,168.8,32.8,38.9,13.72,112.8,13.26,0.27
Punjab,Ludhiana,Cotton,Zaid,Red,143.9,41.4,44.3,33.78,98.7,16.66,0.54
Telangana,Nalgonda,Sugarcane,Kharif,Alluvial,564.4,30.2,68.6,27.97,123.9,20.83,53.46
Madhya Pradesh,Jabalpur,Potato,Rabi,Sandy Loam,219.1,21.7,45.7,8.65,32.6,11.16,12.75
Bihar,Gaya,Potato,Kharif,Desert (Arid),841.0,34.4,83.3,16.14,236.2,16.71,19.71
Andhra Pradesh,Kurnool,Tomato,Kharif,Alluvial,463.8,25.3,93.1,41.64,62.9,4.89,11.97
Telangana,Nalgonda,Chana (Gram),Rabi,Sandy Loam,273.6,13.8,37.2,25.29,60.3,0.84,0.22
Karnataka,Shimoga,Potato,Zaid,Clay,143.8,35.5,31.0,10.39,245.2,18.03,14.4
Punjab,Ludhiana,Soybean,Whole Year,Red,561.3,20.1,61.8,24.68,205.6,,1.2
Telangana,Medak,Onion,Kharif,Mountain,1051.2,28.8,81.9,21.25,290.5,15.1,35.4
Telangana,Nalgonda,Rice,Zaid,Alluvial,168.0,34.0,42.3,41.56,243.1,6.2,2.37
Karnataka,Shimoga,Wheat,Rabi,Sandy Loam,349.9,18.5,43.5,32.77,262.9,11.62,1.69
Uttar Pradesh,Allahabad,Wheat,Whole Year,Alluvial,359.4,27.5,66.6,29.92,60.9,20.7,1.46
Telangana,Nizamabad,Jowar,Kharif,Laterite,1061.1,27.0,60.7,1.55,35.5,4.78,0.58
Telangana,Nalgonda,Cotton,Whole Year,Desert (Arid),398.3,26.2,73.7,43.81,258.3,1.57,0.82
Bihar,Muzaffarpur,Cotton,Kharif,Alluvial,1315.0,29.8,78.5,26.43,48.5,20.92,1.38
Maharashtra,Ahmednagar,Potato,Kharif,Sandy Loam,780.4,33.5,75.7,40.2,238.3,16.24,33.72
Bihar,Darbhanga,Onion,Rabi,Clay,337.8,18.7,68.7,32.16,94.6,3.92,5.34
